titulo;precio;proteinas;carbohidratos;grasas;fibra;calories;texto_busqueda;norm_precio;norm_nutri;score_nutricional
LECHE SIN LACTOSA DESNATADA EROSKI, BRIK 1 LITRO;0.93;3.3;4.8;0.2;0.0;0.0;leche sin lactosa desnatada eroski brik 1 litro eroski;0.9880478087649402;10.0;-1.8599999999999994
LECHE SEMIDESNATADA EROSKI, BOTELLA 1,5 LITROS;1.5;3.2;4.7;1.5;0.0;0.0;leche semidesnatada eroski botella 15 litros eroski;0.9691235059760956;9.696969696969697;-2.76
LECHE SEMIDESNATADA KAIKU, BRIK 1 LITRO;1.25;3.0;4.6;1.5;0.0;0.0;leche semidesnatada kaiku brik 1 litro eroski;0.9774236387782205;9.090909090909092;-2.8599999999999994
LECHE ENTERA LACTURALE, BRIK 1 LITRO;1.24;3.1;4.8;3.6;0.0;0.0;leche entera lacturale brik 1 litro eroski;0.9777556440903055;9.393939393939394;-4.24
LECHE SEMIDESNATADA ASTURIANA, BOTELLA 1,5 LITROS;1.75;3.15;4.65;1.55;0.0;0.0;leche semidesnatada asturiana botella 15 litros eroski;0.9608233731739708;9.545454545454547;-2.7000000000000006
LECHE ENTERA ASTURIANA, BOTELLA 1,5 LITROS;1.89;3.1;4.6;3.6;0.0;0.0;leche entera asturiana botella 15 litros eroski;0.9561752988047809;9.393939393939394;-4.1
LECHE DESNATADA BOMILK, BRIK 1 LITRO;0.84;0.0;0.0;0.0;0.0;0.0;leche desnatada bomilk brik 1 litro eroski;0.9910358565737052;0.0;0.0
LECHE ENTERA UHT BIZKAIA ESNEA, BRIK 1 LITRO;1.29;3.0;4.6;3.61;0.0;0.0;leche entera uht bizkaia esnea brik 1 litro eroski;0.9760956175298805;9.090909090909092;-4.096
LECHE DESNATADA KAIKU, BRIK 1 LITRO;1.19;3.1;4.7;0.0;0.0;0.0;leche desnatada kaiku brik 1 litro eroski;0.9794156706507304;9.393939393939394;-1.8599999999999999
GALLETA DORADA REDONDA EROSKI BASIC, PACK 4X200 G;1.4;5.7;74.0;15.0;0.0;0.0;galleta dorada redonda eroski basic pack 4x200 g eroski;0.9724435590969456;17.272727272727273;-17.26
GALLETA RELLENA DE CHOCOLATE PRÍNCIPE, PAQUETE 900 G;6.39;6.2;71.0;17.0;0.0;0.0;galleta rellena de chocolate príncipe paquete 900 g eroski;0.8067729083665339;18.78787878787879;-32.379999999999995
GALLETA DINOSAURUS ARTIACH, CAJA 411 G;3.39;5.4;72.0;18.0;0.0;0.0;galleta dinosaurus artiach caja 411 g eroski;0.9063745019920318;16.363636363636363;-19.699999999999996
GALLETA CUÉTARA TOSTA RICA, CAJA 760 G;3.85;7.5;73.0;15.0;0.0;0.0;galleta cuétara tosta rica caja 760 g eroski;0.8911022576361222;22.727272727272727;-15.36
GALLETA CON PEPITAS DE CHOCOLATE CHIPS AHOY! MINIS, CAJA 160 G;1.91;5.8;64.0;24.0;0.0;0.0;galleta con pepitas de chocolate chips ahoy minis caja 160 g eroski;0.9555112881806109;17.575757575757574;-40.28
GALLETA COOKIES SIN PALMA EROSKI, PAQUETE 225 G;1.5;5.0;66.0;22.0;0.0;0.0;galleta cookies sin palma eroski paquete 225 g eroski;0.9691235059760956;15.151515151515152;-29.200000000000003
GALLETA LA BUENA MARÍA FONTANEDA, CAJA 707 G;3.35;7.7;76.0;11.0;0.0;0.0;galleta la buena maría fontaneda caja 707 g eroski;0.9077025232403718;23.333333333333332;-22.92
GALLETA DIGESTIVE DE AVENA CON CHOCOLATE GULLÓN, CAJA 425 G;2.59;7.6;61.0;21.0;0.0;0.0;galleta digestive de avena con chocolate gullón caja 425 g eroski;0.9329349269588314;23.030303030303028;-21.200000000000003
GALLETA AHORRO CHIPS AHOY!, CAJA 400 G;5.75;5.5;64.0;24.0;0.0;0.0;galleta ahorro chips ahoy caja 400 g eroski;0.8280212483399735;16.666666666666664;-40.98
GALLETA CREME TROPICAL GULLÓN, CAJA 800 G;3.49;6.5;70.0;18.0;0.0;0.0;galleta creme tropical gullón caja 800 g eroski;0.9030544488711819;19.696969696969695;-13.899999999999999
GALLETA DIGESTIVE CON CHOCOLATE EROSKI, PAQUETE 300 G;1.4;6.0;63.0;20.0;0.0;0.0;galleta digestive con chocolate eroski paquete 300 g eroski;0.9724435590969456;18.181818181818183;-28.799999999999997
CHOCO FLAKES CUÉTARA, CAJA 520 G;3.89;6.3;73.0;14.0;0.0;0.0;choco flakes cuétara caja 520 g eroski;0.8897742363877822;19.090909090909093;-27.860000000000003
GALLETA MARÍA EROSKI BASIC, PACK 4X200 G;1.4;7.6;77.0;10.0;0.0;0.0;galleta maría eroski basic pack 4x200 g eroski;0.9724435590969456;23.030303030303028;-13.660000000000002
GALLETA RELLENA DE CHOCOLATE FAVORITA, PAQUETE 500 G;1.3;5.9;67.0;20.0;0.0;0.0;galleta rellena de chocolate favorita paquete 500 g eroski;0.9757636122177955;17.87878787878788;-34.6
GALLETA DE CHOCOLATE RELLENA SABOR VAINILLA OREO, CAJA 440 G;4.7;5.4;68.0;19.0;0.0;0.0;galleta de chocolate rellena sabor vainilla oreo caja 440 g eroski;0.8628818061088978;16.363636363636363;-39.28
GALLETA PRÍNCIPE MAXICHOC, PACK 3X250 G;6.69;5.5;65.0;24.0;0.0;0.0;galleta príncipe maxichoc pack 3x250 g eroski;0.796812749003984;16.666666666666664;-44.3
GALLETA RELIEVE EROSKI, CAJA 700 G;1.52;6.0;69.0;18.0;0.0;0.0;galleta relieve eroski caja 700 g eroski;0.9684594953519257;18.181818181818183;-17.3
GALLETA CUÉTARA TOSTARICA OCEANIX, PAQUETE 400 G;3.99;7.0;68.0;18.0;0.0;0.0;galleta cuétara tostarica oceanix paquete 400 g eroski;0.8864541832669323;21.21212121212121;-19.5
GALLETAS DINOS CHOCOLATE CON LECHE ARTIACH, CAJA 255 G;3.55;5.5;67.0;22.0;0.0;0.0;galletas dinos chocolate con leche artiach caja 255 g eroski;0.901062416998672;16.666666666666664;-31.46
GALLETA DIGESTIVE EROSKI, PAQUETE 800 G;1.6;6.0;70.0;17.0;0.0;0.0;galleta digestive eroski paquete 800 g eroski;0.9658034528552457;18.181818181818183;-16.2
MACARRONES EROSKI BASIC, PAQUETE 1 KG;1.2;11.0;72.0;1.2;0.0;0.0;macarrones eroski basic paquete 1 kg eroski;0.9790836653386454;33.33333333333333;7.66
MASA DE PIZZA FINISSIMA MAXI BUITONI, CAJA 350 G;2.99;8.6;46.3;5.5;0.0;0.0;masa de pizza finissima maxi buitoni caja 350 g eroski;0.9196547144754316;26.060606060606062;3.1999999999999993
SPAGHETTI EROSKI BASIC, PAQUETE 500 G;0.8;11.0;72.0;1.2;0.0;0.0;spaghetti eroski basic paquete 500 g eroski;0.9923638778220452;33.33333333333333;7.66
MASA DE HOJALDRE EROSKI, PAQUETE 275 G;1.59;6.5;37.0;24.0;0.0;0.0;masa de hojaldre eroski paquete 275 g eroski;0.9661354581673307;19.696969696969695;-10.3
SPAGHETTI Nº 3 GALLO, PAQUETE 1 KG;1.99;12.0;68.0;2.0;0.0;0.0;spaghetti nº 3 gallo paquete 1 kg eroski;0.952855245683931;36.36363636363637;7.94
ESPIRALES CON VEGETALES EROSKI, PAQUETE 1 KG;1.6;0.0;0.0;0.0;0.0;0.0;espirales con vegetales eroski paquete 1 kg eroski;0.9658034528552457;0.0;0.0
MASA DE PIZZA EROSKI, PAQUETE 260 G;1.05;7.8;48.0;4.9;0.0;0.0;masa de pizza eroski paquete 260 g eroski;0.9840637450199203;23.636363636363637;-0.09999999999999964
TIBURÓN EROSKI, PAQUETE 500 G;0.8;11.0;72.0;1.2;0.0;0.0;tiburón eroski paquete 500 g eroski;0.9923638778220452;33.33333333333333;7.66
MASA PIZZA XXL EROSKI, PAQUETE 550 G;2.39;7.8;48.0;4.9;0.0;0.0;masa pizza xxl eroski paquete 550 g eroski;0.9395750332005312;23.636363636363637;-0.09999999999999964
MASA DE HOJALDRE RECTANGULAR BUITONI, PAQUETE 230 G;2.35;7.4;36.0;23.3;0.0;0.0;masa de hojaldre rectangular buitoni paquete 230 g eroski;0.9409030544488712;22.424242424242426;-6.200000000000001
TORTELLINI DE JAMÓN-QUESO RANA, BOLSA 250 G;3.55;13.0;31.0;8.8;0.0;0.0;tortellini de jamónqueso rana bolsa 250 g eroski;0.901062416998672;39.39393939393939;4.5
MACARRÓN PLUMA N.6 GALLO, PAQUETE 400 G;1.0;12.0;68.0;2.0;0.0;0.0;macarrón pluma n6 gallo paquete 400 g eroski;0.9857237715803453;36.36363636363637;7.94
SPAGHETTI N.3 GALLO, PAQUETE 400 G;1.0;12.0;68.0;2.0;0.0;0.0;spaghetti n3 gallo paquete 400 g eroski;0.9857237715803453;36.36363636363637;7.94
TORTELLINI RICOTTA CON ESPINACAS EROSKI, BANDEJA 250 G;1.9;10.0;40.0;7.8;0.0;0.0;tortellini ricotta con espinacas eroski bandeja 250 g eroski;0.9558432934926959;30.303030303030305;-0.3000000000000007
MASA PIZZA FINISSIMA RECTANGULAR BUITONI, CAJA 260 G;1.99;8.6;46.3;5.5;0.0;0.0;masa pizza finissima rectangular buitoni caja 260 g eroski;0.952855245683931;26.060606060606062;3.1999999999999993
PLUMAS INTEGRALES BIO EROSKI BIO/ECO, PAQUETE 500 G;1.45;12.0;62.0;2.0;0.0;0.0;plumas integrales bio eroski bioeco paquete 500 g eroski;0.9707835325365206;36.36363636363637;7.44
SPAGUETTI EROSKI BASIC, PAQUETE 1 KG;1.2;11.0;72.0;1.2;0.0;0.0;spaguetti eroski basic paquete 1 kg eroski;0.9790836653386454;33.33333333333333;7.66
GNOCCHI DE PATATA GAROFALO, PAQUETE 500 G;2.05;4.7;39.0;1.0;0.0;0.0;gnocchi de patata garofalo paquete 500 g eroski;0.950863213811421;14.242424242424242;2.6
FARFALLE CON VEGETALES EROSKI, PAQUETE 500 G;1.1;11.0;72.0;1.5;0.0;0.0;farfalle con vegetales eroski paquete 500 g eroski;0.9824037184594954;33.33333333333333;7.640000000000001
TALLARINES EROSKI, PAQUETE 500 G;0.8;11.0;72.0;1.2;0.0;0.0;tallarines eroski paquete 500 g eroski;0.9923638778220452;33.33333333333333;7.66
YOGUR NATURAL EROSKI BASIC, PACK 8X125 G;1.33;3.6;4.1;1.9;0.0;0.0;yogur natural eroski basic pack 8x125 g eroski;0.9747675962815405;10.90909090909091;-2.1
YOGUR NATURAL DANONE, PACK 8X120 G;1.99;3.3;4.3;3.3;0.0;0.0;yogur natural danone pack 8x120 g eroski;0.952855245683931;10.0;-3.2199999999999998
