titulo;precio;proteinas;carbohidratos;grasas;fibra;calories;texto_busqueda;norm_precio;norm_nutri;score_nutricional
HUEVO CAMPERO PAÍS VASCO M/L EROSKI NATUR, CARTÓN 6 UDS;2.1;13.0;0.7;12.0;0.0;0.0;huevo campero país vasco ml eroski natur cartón 6 uds eroski;0.9492031872509961;39.39393939393939;8.26
HUEVO FRESCO M EUSKALOVO, CAJA 10 DOCENAS;25.75;0.0;0.0;0.0;0.0;0.0;huevo fresco m euskalovo caja 10 docenas eroski;0.1640106241699868;0.0;0.0
HUEVOS FRESCOS M EROSKI, CARTÓN 12 UDS;3.0;12.5;0.7;9.5;0.0;0.0;huevos frescos m eroski cartón 12 uds eroski;0.9193227091633466;37.878787878787875;8.280000000000001
HUEVO FRESCO XL EROSKI, CARTÓN 12 UDS;4.3;13.0;0.7;12.0;0.0;0.0;huevo fresco xl eroski cartón 12 uds eroski;0.8761620185922975;39.39393939393939;8.26
HUEVO SUELO M/L EROSKI, CARTÓN 18 UDS;4.96;13.0;0.7;12.0;0.0;0.0;huevo suelo ml eroski cartón 18 uds eroski;0.8542496679946879;39.39393939393939;8.26
HUEVO FRESCO L EROSKI, CARTÓN 12 UDS.;3.2;12.5;0.7;9.5;0.0;0.0;huevo fresco l eroski cartón 12 uds eroski;0.9126826029216467;37.878787878787875;8.280000000000001
HUEVO FRESCO DEL PAÍS VASCO EROSKI NATUR BIO, CARTÓN 6 UDS;2.99;12.7;0.7;12.1;0.0;0.0;huevo fresco del país vasco eroski natur bio cartón 6 uds eroski;0.9196547144754316;38.484848484848484;7.8999999999999995
HUEVO DE CASERÍO EUSKO LABEL BASERRIKO EUSKABER, CARTÓN 6 UDS;2.89;0.0;0.0;0.0;0.0;0.0;huevo de caserío eusko label baserriko euskaber cartón 6 uds eroski;0.9229747675962815;0.0;0.0
HUEVO FRESCO L EUSKALOVO, CAJA 10 DOCENAS;30.69;0.0;0.0;0.0;0.0;0.0;huevo fresco l euskalovo caja 10 docenas eroski;0.0;0.0;0.0
HUEVO FRESCO M SUELO EROSKI, CARTÓN 1 DOCENA;3.2;13.0;0.7;12.0;0.0;0.0;huevo fresco m suelo eroski cartón 1 docena eroski;0.9126826029216467;39.39393939393939;8.26
HUEVO L SUELO HOBEA, CARTÓN 12 UDS;4.71;13.0;3.8;12.0;0.0;0.0;huevo l suelo hobea cartón 12 uds eroski;0.8625498007968128;39.39393939393939;8.26
HUEVO ECOLÓGICO HOBEA, CARTÓN 6 UDS;3.79;13.0;3.8;12.0;0.0;0.0;huevo ecológico hobea cartón 6 uds eroski;0.8930942895086321;39.39393939393939;8.26
HUEVO FRESCO SUELO XL HOBEA, CARTÓN 12 UDS;5.45;0.0;0.0;0.0;0.0;0.0;huevo fresco suelo xl hobea cartón 12 uds eroski;0.8379814077025233;0.0;0.0
HUEVO CAMPERO HOBEA, CARTÓN 6 UDS;2.57;13.0;3.8;12.0;0.0;0.0;huevo campero hobea cartón 6 uds eroski;0.9335989375830014;39.39393939393939;8.26
CLARA HUEVO HOBEA, BOTELLA 300 ML;3.25;0.0;0.0;0.0;0.0;0.0;clara huevo hobea botella 300 ml eroski;0.9110225763612217;0.0;0.0
HUEVO DE CODORNIZ HOBEA, CAJA 12 UDS;2.57;0.0;0.0;0.0;0.0;0.0;huevo de codorniz hobea caja 12 uds eroski;0.9335989375830014;0.0;0.0
CLARA DE HUEVO PASTEURIZADA HOBEA, BOTELLA 1 LITRO;4.35;0.0;0.0;0.0;0.0;0.0;clara de huevo pasteurizada hobea botella 1 litro eroski;0.8745019920318725;0.0;0.0
QUESO RALLADO MOZZARELLA PARA PIZZA EROSKI, BOLSA 200 G;1.65;25.0;0.0;21.0;0.0;0.0;queso rallado mozzarella para pizza eroski bolsa 200 g eroski;0.9641434262948207;75.75757575757575;8.0
QUESO GOUDA EROSKI, LONCHAS, BANDEJA 200 G;1.5;23.0;0.0;30.0;0.0;0.0;queso gouda eroski lonchas bandeja 200 g eroski;0.9691235059760956;69.6969696969697;-0.8000000000000007
QUESO RALLADO 4 QUESOS EROSKI, BOLSA 200 G;1.85;25.0;2.0;27.0;0.0;0.0;queso rallado 4 quesos eroski bolsa 200 g eroski;0.9575033200531209;75.75757575757575;3.599999999999998
QUESO HAVARTI EROSKI, LONCHAS, BANDEJA 300 G;3.38;19.0;0.1;37.0;0.0;0.0;queso havarti eroski lonchas bandeja 300 g eroski;0.9067065073041168;57.57575757575758;-9.5
QUESO EDAM TIERNO EROSKI, LONCHAS, BANDEJA 200 G;1.43;25.0;0.0;24.0;0.0;0.0;queso edam tierno eroski lonchas bandeja 200 g eroski;0.9714475431606906;75.75757575757575;4.0
QUESO NATURAL PHILADELPHIA, TARRINA 350 G;3.99;3.7;2.8;25.0;0.0;0.0;queso natural philadelphia tarrina 350 g eroski;0.8864541832669323;11.212121212121213;-17.220000000000002
QUESO FRESCO NATURAL BURGO DE ARIAS, PACK 6X72 G;6.16;11.0;3.0;14.0;0.0;0.0;queso fresco natural burgo de arias pack 6x72 g eroski;0.8144090305444887;33.33333333333333;-3.379999999999999
QUESO MOZZARELLA EROSKI, BOLSA 125 G;1.0;17.0;1.3;16.0;0.0;0.0;queso mozzarella eroski bolsa 125 g eroski;0.9857237715803453;51.515151515151516;3.799999999999999
QUESO UNTAR NATURAL EROSKI, TARRINA 300 G;1.45;5.5;3.0;23.0;0.0;0.0;queso untar natural eroski tarrina 300 g eroski;0.9707835325365206;16.666666666666664;-14.8
QUESO SEMICURADO MEZCLA G. BAQUERO, CUÑA CORTADA 225 G;4.69;25.0;1.5;34.5;0.0;0.0;queso semicurado mezcla g baquero cuña cortada 225 g eroski;0.8632138114209827;75.75757575757575;-3.099999999999998
QUESO RALLADO EMMENTAL EROSKI, BOLSA 200 G;1.73;27.0;1.5;29.0;0.0;0.0;queso rallado emmental eroski bolsa 200 g eroski;0.9614873837981408;81.81818181818183;6.600000000000001
QUESO COTTAGE 0% EROSKI, TARRINA 200 G;1.35;12.0;4.5;0.0;0.0;0.0;queso cottage 0 eroski tarrina 200 g eroski;0.9741035856573705;36.36363636363637;8.8
QUESO FUNDIDO EROSKI BASIC, LONCHAS, SOBRE 450 G;1.91;14.0;7.5;12.0;0.0;0.0;queso fundido eroski basic lonchas sobre 450 g eroski;0.9555112881806109;42.42424242424242;-5.5
QUESO TIERNO DE CABRA EROSKI, LONCHAS, BANDEJA 150 G;2.33;21.0;1.0;30.0;0.0;0.0;queso tierno de cabra eroski lonchas bandeja 150 g eroski;0.9415670650730412;63.63636363636363;-3.6999999999999993
QUESO FRESCO EROSKI BASIC, PACK 2X250 G;2.05;11.0;3.6;14.0;0.0;0.0;queso fresco eroski basic pack 2x250 g eroski;0.950863213811421;33.33333333333333;-3.6999999999999993
QUESO NATURAL PHILADELPHIA, TARRINA 250 G;2.97;3.7;2.8;25.0;0.0;0.0;queso natural philadelphia tarrina 250 g eroski;0.9203187250996016;11.212121212121213;-17.220000000000002
QUESO FETA TACO EROSKI BIO, TACO 150 G;2.25;16.0;0.5;23.0;0.0;0.0;queso feta taco eroski bio taco 150 g eroski;0.9442231075697212;48.484848484848484;-4.5
QUESO D.O. ARZUA ULLOA RUTA XACOBEA, PIEZA 650 G;5.45;22.4;1.0;27.3;0.0;0.0;queso do arzua ulloa ruta xacobea pieza 650 g eroski;0.8379814077025233;67.87878787878788;-0.360000000000003
QUESO DE VACA EROSKI BASIC, LONCHAS, BANDEJA 300 G;2.55;0.0;0.0;0.0;0.0;0.0;queso de vaca eroski basic lonchas bandeja 300 g eroski;0.9342629482071714;0.0;0.0
QUESO RALLADO GRANA PADANO EROSKI SELEQTIA, BOLSA 100 G;1.7;33.0;0.0;29.0;0.0;0.0;queso rallado grana padano eroski seleqtia bolsa 100 g eroski;0.9624833997343958;100.0;12.0
ATÚN CLARO EN ACEITE DE OLIVA EROSKI, PACK 6X70 G;4.9;0.0;0.0;0.0;0.0;0.0;atún claro en aceite de oliva eroski pack 6x70 g eroski;0.8562416998671979;0.0;0.0
ATÚN CLARO AL NATURAL EROSKI, PACK 6X56 G;4.2;21.0;0.51;2.5;0.0;0.0;atún claro al natural eroski pack 6x56 g eroski;0.8794820717131474;63.63636363636363;18.8
ATÚN CLARO EN ACEITE DE GIRASOL EROSKI, PACK 6X70 G;4.3;0.0;0.0;0.0;0.0;0.0;atún claro en aceite de girasol eroski pack 6x70 g eroski;0.8761620185922975;0.0;0.0
VENTRESCA DE ATÚN CLARO EN ACEITE DE OLIVA EROSKI, LATA 111 G;3.3;26.0;0.5;7.2;0.0;0.0;ventresca de atún claro en aceite de oliva eroski lata 111 g eroski;0.9093625498007968;78.78787878787878;21.2
ATÚN CLARO EN ACEITE DE OLIVA ALBO, PACK 3X92 G;7.1;20.0;0.0;33.0;0.0;0.0;atún claro en aceite de oliva albo pack 3x92 g eroski;0.7832005312084993;60.60606060606061;13.440000000000001
ATÚN CLARO EN ACEITE DE OLIVA EROSKI, FRASCO 185 G;3.7;26.7;0.0;9.9;0.0;0.0;atún claro en aceite de oliva eroski frasco 185 g eroski;0.8960823373173971;80.9090909090909;22.5
ATÚN EN ACEITE DE GIRASOL SERVIHOSTEL, BOLSA 1 KG;8.2;0.0;0.0;0.0;0.0;0.0;atún en aceite de girasol servihostel bolsa 1 kg eroski;0.7466799468791501;0.0;0.0
ATÚN CLARO EN ACEITE DE OLIVA CALVO, PACK 3X65 G;4.29;20.0;1.9;19.0;0.0;0.0;atún claro en aceite de oliva calvo pack 3x65 g eroski;0.8764940239043825;60.60606060606061;14.2
ATÚN EN ACEITE GIRASOL EROSKI BASIC, LATA 750 G;6.5;0.0;0.0;0.0;0.0;0.0;atún en aceite girasol eroski basic lata 750 g eroski;0.8031208499335989;0.0;0.0
ATÚN CLARO EN ACEITE DE OLIVA EROSKI, LATA 111 G;1.55;22.0;0.5;18.0;0.0;0.0;atún claro en aceite de oliva eroski lata 111 g eroski;0.9674634794156707;66.66666666666666;17.1
ATÚN CLARO EN ACEITE DE OLIVA EROSKI, FRASCO 400 G;6.15;26.7;0.0;9.9;0.0;0.0;atún claro en aceite de oliva eroski frasco 400 g eroski;0.8147410358565736;80.9090909090909;22.5
ATÚN CLARO AL NATURAL CALVO, PACK 3X56 G;3.49;20.0;0.0;0.6;0.0;0.0;atún claro al natural calvo pack 3x56 g eroski;0.9030544488711819;60.60606060606061;16.9
ATÚN CLARO EN ACEITE VIRGEN ALBO, PACK 3X65 G;5.95;20.0;0.0;33.0;0.0;0.0;atún claro en aceite virgen albo pack 3x65 g eroski;0.8213811420982736;60.60606060606061;13.440000000000001
ATÚN CLARO EN ACEITE DE OLIVA CALVO, PACK 6X65 G;7.65;20.0;0.0;20.0;0.0;0.0;atún claro en aceite de oliva calvo pack 6x65 g eroski;0.7649402390438247;60.60606060606061;14.6
ATÚN CLARO EN ACEITE DE OLIVA LA ESPAÑOLA CALVO, PACK 3X100 G;7.25;21.0;2.2;20.0;0.0;0.0;atún claro en aceite de oliva la española calvo pack 3x100 g eroski;0.7782204515272244;63.63636363636363;15.9
ATÚN CLARO AL NATURAL EROSKI, PACK 3X56 G;2.45;21.0;0.5;2.5;0.0;0.0;atún claro al natural eroski pack 3x56 g eroski;0.9375830013280212;63.63636363636363;18.8
ATÚN EN ACEITE DE OLIVA EROSKI, LATA 750 G;7.7;0.0;0.0;0.0;0.0;0.0;atún en aceite de oliva eroski lata 750 g eroski;0.7632802124833997;0.0;0.0
ATÚN CLARO EN ACEITE DE GIRASOL CALVO, PACK 6X65 G;6.75;20.0;0.0;23.0;0.0;0.0;atún claro en aceite de girasol calvo pack 6x65 g eroski;0.7948207171314741;60.60606060606061;15.1
ATÚN CLARO EN ACEITE DE OLIVA CUCA, FRASCO 180 G;5.99;27.0;0.0;10.0;0.0;0.0;atún claro en aceite de oliva cuca frasco 180 g eroski;0.8200531208499336;81.81818181818183;23.1
ATÚN CLARO EN ESCABECHE EROSKI, PACK 3X80 G;2.35;22.0;0.5;5.5;0.0;0.0;atún claro en escabeche eroski pack 3x80 g eroski;0.9409030544488712;66.66666666666666;19.3
PAN DE MOLDE CON CORTEZA EROSKI BASIC, PAQUETE 820 G;1.18;8.5;46.0;2.9;0.0;0.0;pan de molde con corteza eroski basic paquete 820 g eroski;0.9797476759628154;25.757575757575758;1.2000000000000002
PAN REBANADA ARTESANA BIMBO, PAQUETE 500 G;2.89;8.2;48.0;2.7;0.0;0.0;pan rebanada artesana bimbo paquete 500 g eroski;0.9229747675962815;24.848484848484848;-2.8000000000000007
PAN CON MASA MADRE RUSTIK BAKERY, PAQUETE 400 G;2.99;9.4;45.0;1.5;0.0;0.0;pan con masa madre rustik bakery paquete 400 g eroski;0.9196547144754316;28.484848484848484;3.1000000000000005
PAN DE MOLDE SIN CORTEZA BIMBO, PAQUETE 450 G;2.09;10.0;44.0;2.7;0.0;0.0;pan de molde sin corteza bimbo paquete 450 g eroski;0.949535192563081;30.303030303030305;2.4800000000000004
PAN DE MOLDE SIN CORTEZA EROSKI, PAQUETE 450 G;1.13;8.2;45.7;3.0;0.0;0.0;pan de molde sin corteza eroski paquete 450 g eroski;0.9814077025232404;24.848484848484848;3.1599999999999993
PAN TOSTADO INTEGRAL EROSKI, 30 REBANADAS, PAQUETE 270 G;1.72;14.0;59.0;5.6;0.0;0.0;pan tostado integral eroski 30 rebanadas paquete 270 g eroski;0.9618193891102258;42.42424242424242;7.66
PAN DE MOLDE 12 CEREALES Y SEMILLAS OROWEAT, PAQUETE 550 G;3.19;11.0;40.0;5.4;0.0;0.0;pan de molde 12 cereales y semillas oroweat paquete 550 g eroski;0.9130146082337317;33.33333333333333;2.879999999999999
PAN DE SANDWICH BIMBO, PAQUETE 640 G;2.35;9.3;45.0;3.0;0.0;0.0;pan de sandwich bimbo paquete 640 g eroski;0.9409030544488712;28.181818181818187;1.200000000000001
PAN MOLDE NATURAL 100% SIN CORTEZA BIMBO, PAQUETE 450 G;2.85;9.7;43.0;2.7;0.0;0.0;pan molde natural 100 sin corteza bimbo paquete 450 g eroski;0.9243027888446215;29.393939393939394;2.6999999999999993
PAN HAMBURGUESA MAXIBURGUERS EROSKI, 4 UNID., PAQUETE 300 G;0.85;9.7;47.0;5.0;0.0;0.0;pan hamburguesa maxiburguers eroski 4 unid paquete 300 g eroski;0.9907038512616202;29.393939393939394;1.0999999999999979
PAN BURGER BRIOCHE EROSKI, 4 UDS, PAQUETE 340 G;2.49;10.0;45.0;5.4;0.0;0.0;pan burger brioche eroski 4 uds paquete 340 g eroski;0.9362549800796812;30.303030303030305;-1.0999999999999996
PAN DE MOLDE DE CENTENO-SEMILLAS EROSKI, PAQUETE 675 G;1.38;9.4;46.0;3.0;0.0;0.0;pan de molde de centenosemillas eroski paquete 675 g eroski;0.9731075697211156;28.484848484848484;2.0
PANECILLO PINCHO EROSKI, 10 UDS, BOLSA 550 G;1.25;0.0;0.0;0.0;0.0;0.0;panecillo pincho eroski 10 uds bolsa 550 g eroski;0.9774236387782205;0.0;0.0
PAN TOSTADO EROSKI BASIC, 30 REBANADAS, PAQUETE 270 G;1.59;12.0;73.0;4.6;0.0;0.0;pan tostado eroski basic 30 rebanadas paquete 270 g eroski;0.9661354581673307;36.36363636363637;4.0
PAN BLANCO BIMBO, PAQUETE 430 G;1.5;10.0;48.0;6.1;0.0;0.0;pan blanco bimbo paquete 430 g eroski;0.9691235059760956;30.303030303030305;0.3000000000000007
BAGUETTE, 220 G;0.57;7.9;50.0;1.1;0.0;0.0;baguette 220 g eroski;1.0;23.93939393939394;1.5999999999999996
PAN DE MOLDE CON PIPAS OROWEAT, PAQUETE 550 G;3.29;12.0;37.0;7.0;0.0;0.0;pan de molde con pipas oroweat paquete 550 g eroski;0.9096945551128818;36.36363636363637;1.299999999999999
PAN DE PUEBLO PANUSA, 800 G;1.6;8.2;54.0;0.7;0.0;0.0;pan de pueblo panusa 800 g eroski;0.9658034528552457;24.848484848484848;3.499999999999999
PAN DE MOLDE NATURAL 100% BIMBO, PAQUETE 460 G;2.6;9.6;45.0;2.8;0.0;0.0;pan de molde natural 100 bimbo paquete 460 g eroski;0.9326029216467463;29.09090909090909;0.9000000000000004
PAN TOSTADO INTEGRAL RECONDO, 30 REBANADAS, PAQUETE 270 G;2.49;13.0;66.0;4.7;0.0;0.0;pan tostado integral recondo 30 rebanadas paquete 270 g eroski;0.9362549800796812;39.39393939393939;5.800000000000001
GARBANZO COCIDO EROSKI, FRASCO 400 G;0.85;6.8;17.0;2.8;0.0;0.0;garbanzo cocido eroski frasco 400 g eroski;0.9907038512616202;20.606060606060606;5.42
LENTEJA PARDINA EXTRA LUENGO, PAQUETE 1 KG;3.79;23.0;23.0;2.1;0.0;0.0;lenteja pardina extra luengo paquete 1 kg eroski;0.8930942895086321;69.6969696969697;20.8
GARBANZO COCIDO LUENGO, FRASCO 400 G;1.3;5.4;12.0;1.9;0.0;0.0;garbanzo cocido luengo frasco 400 g eroski;0.9757636122177955;16.363636363636363;4.04
LENTEJA PARDINA EROSKI, PAQUETE 1 KG;1.95;0.0;0.0;0.0;0.0;0.0;lenteja pardina eroski paquete 1 kg eroski;0.954183266932271;0.0;0.0
ALUBIA BLANCA LARGA EXTRA LUENGO, PAQUETE 1 KG;3.89;20.8;39.0;2.1;0.0;0.0;alubia blanca larga extra luengo paquete 1 kg eroski;0.8897742363877822;63.03030303030304;15.16
ALUBIA MORADA EXTRA LUENGO, PAQUETE 1 KG;4.95;20.0;39.0;2.0;0.0;0.0;alubia morada extra luengo paquete 1 kg eroski;0.8545816733067729;60.60606060606061;14.68
GARBANZO COCIDO AL NATURAL PEDRO LUIS, FRASCO 500 G;2.55;6.0;11.8;2.0;0.0;0.0;garbanzo cocido al natural pedro luis frasco 500 g eroski;0.9342629482071714;18.181818181818183;3.4
GARBANZO COCIDO EROSKI SELEQTIA, FRASCO 400 G;1.69;5.4;11.53;1.9;0.0;0.0;garbanzo cocido eroski seleqtia frasco 400 g eroski;0.9628154050464808;16.363636363636363;4.04
GARBANZO LECHOSO EXTRA LUENGO, PAQUETE 1 KG;4.39;21.0;46.0;5.8;0.0;0.0;garbanzo lechoso extra luengo paquete 1 kg eroski;0.8731739707835325;63.63636363636363;14.5
LENTEJAS LUENGO, FRASCO 400 G;1.3;6.6;13.0;0.0;0.0;0.0;lentejas luengo frasco 400 g eroski;0.9757636122177955;20.0;5.22
ALUBIA BLANCA COCIDA LUENGO, FRASCO 400 G;1.3;5.3;12.0;0.0;0.0;0.0;alubia blanca cocida luengo frasco 400 g eroski;0.9757636122177955;16.060606060606062;3.6199999999999997
ALUBIA BLANCA COCIDA EROSKI, FRASCO 400 G;0.8;6.1;12.0;0.7;0.0;0.0;alubia blanca cocida eroski frasco 400 g eroski;0.9923638778220452;18.484848484848484;4.02
LENTEJA I.G.P. TIERRA DE CAMPOS E. SELEQTIA, CAJA 500 G;1.65;22.0;36.0;2.6;0.0;0.0;lenteja igp tierra de campos e seleqtia caja 500 g eroski;0.9641434262948207;66.66666666666666;20.0
ALUBIA ROJA COCIDA LUENGO, FRASCO 400 G;1.79;5.8;9.9;0.0;0.0;0.0;alubia roja cocida luengo frasco 400 g eroski;0.9594953519256308;17.575757575757574;4.6
LENTEJAS COCIDAS EROSKI, FRASCO 400 G;0.9;6.0;12.0;0.6;0.0;0.0;lentejas cocidas eroski frasco 400 g eroski;0.9890438247011952;18.181818181818183;4.48
GARBANZO SELECTO LUENGO, PAQUETE 1 KG;4.05;21.0;46.0;5.8;0.0;0.0;garbanzo selecto luengo paquete 1 kg eroski;0.8844621513944223;63.63636363636363;14.440000000000001
GARBANZO PEDROSILLANO COCIDO NATURAL PEDRO LUIS, FRASCO 500 G;2.55;5.2;11.7;1.0;0.0;0.0;garbanzo pedrosillano cocido natural pedro luis frasco 500 g eroski;0.9342629482071714;15.75757575757576;2.7600000000000002
GARBANZO COCIDO EROSKI BIO, FRASCO 400 G;1.99;5.4;12.0;2.1;0.0;0.0;garbanzo cocido eroski bio frasco 400 g eroski;0.952855245683931;16.363636363636363;4.04
ALUBIA BLANCA LARGA EROSKI, PAQUETE 1 KG;2.45;20.0;33.0;2.0;0.0;0.0;alubia blanca larga eroski paquete 1 kg eroski;0.9375830013280212;60.60606060606061;16.1
ALUBIAS ROJAS AL NATURAL PEDRO LUIS, FRASCO 500 G;2.55;5.6;8.0;0.5;0.0;0.0;alubias rojas al natural pedro luis frasco 500 g eroski;0.9342629482071714;16.96969696969697;2.9999999999999996
